,submit
0,1522.3077223131709
1,1408.3405439703188
2,613.1737215486604
3,2313.9857234928495
4,6534.341154086175
5,1841.8392542486326
6,660.3480373347627
7,2333.031769324637
8,1507.6306900401366
9,3085.0145366035267
10,1974.6387602856576
11,1422.9996805565956
12,419.81866534811644
13,1984.2995816226892
14,909.4759401273158
15,2179.472381586145
16,3049.0784024565587
17,2538.256429669506
18,2518.667118389977
19,516.9075984459724
20,2960.2981491078845
21,4243.821033757682
22,914.9134977198214
23,219.21059949897693
24,3364.5670901187573
25,659.2917377857029
26,881.2393756850172
27,2468.8948345440413
28,4037.8129904004454
29,2122.9596096161413
30,-55.861986776097254
31,3051.212028729154
32,320.3424335753096
33,6308.037077732043
34,2537.5206839784273
35,5711.423005356064
36,2267.1143322634516
37,276.64498556342863
38,2968.181881362548
39,2296.2947214852775
40,1386.8976041542694
41,212.66114447362165
42,2696.180526174214
43,1935.7860527358114
44,388.7391865758839
45,1759.2264106765329
46,16.28049642235186
47,2970.8974882546568
48,5076.724696170682
49,1679.2279901857519
50,946.1298428831109
51,1824.5830807886473
52,3347.303754402212
53,2073.239979975107
54,5025.950805185754
55,3570.0639902730827
56,3358.6278074493543
57,705.0432250553498
58,221.1979555643899
59,1443.1263856220735
60,2462.2374875948585
61,2887.8131613634832
62,3250.921779863866
63,1846.6606606477562
64,1982.6280931123483
65,2544.717048543114
66,2660.6509654510332
67,4609.785165718459
68,3632.2503879730507
69,2942.707626364912
70,3045.1531732407348
71,2550.755375785706
72,1702.3112686057364
73,4924.692310319171
74,3229.80253657908
75,2865.0613553844105
76,310.94255782682274
77,2265.7663594908204
78,793.4374495344798
79,2400.431109251668
80,2463.17955916802
81,1446.4751914538717
82,2053.477422110269
83,3176.6236881985164
84,2999.893553062978
85,1977.8660574999085
86,3184.823583172262
87,3254.0335737411497
88,841.6958822020289
89,953.1583788053047
90,3140.275529497184
91,5954.895923454617
92,2568.257248007009
93,1453.7162441153785
94,1912.466935141919
95,914.9590806732439
96,2340.523820510896
97,2084.457903749969
98,2875.067164828245
99,1284.854750320792
100,2065.626570907588
101,1726.8525235583693
102,3026.1241998130104
103,1942.156727362741
104,546.3551090656846
105,6729.257515087397
106,79.92767748425999
107,838.552535949142
108,1669.118184085382
109,3924.1112616115006
110,404.1601713285906
111,3317.142307936707
112,200.42810188624196
113,7251.313486319378
114,1485.6902112923804
115,2277.902317429971
116,910.8597700474901
117,1284.6587741431147
118,1693.8386560733268
119,1747.2080597626846
120,5179.563877292701
121,670.9348078905376
122,1423.5328706479352
123,1214.2358690040612
124,3355.269674483791
125,5552.959670425733
126,1867.260038595627
127,679.8155575636413
128,1456.639707497246
129,1714.8825816641113
130,2615.411892239622
131,1962.7109516829664
132,1770.7212148393198
133,157.97996044557758
134,1178.836279061124
135,344.18949099946195
136,558.141652429184
137,1019.5641947375935
138,286.6494160282225
139,2171.135139020765
140,191.59684475696446
141,890.5097703596856
142,1469.5539437454315
143,2167.5645955509267
144,1487.763717006703
145,2263.9729113640597
146,2452.724130032677
147,5189.539125488711
148,1742.7126080802605
149,1156.5746908753476
150,1809.9370276839452
151,4624.919165264173
152,760.0068318315444
153,4040.726137892776
154,2294.7392827836024
155,2137.6470461246395
156,543.2748518645693
157,1093.7844608116343
158,1098.1949419419589
159,938.40425782014
160,2761.9971139265263
161,2755.2850576360656
162,3068.3009263458307
163,2951.0345378177817
164,1087.529790724336
165,150.13689079038363
166,2418.9897052128968
167,2958.7385131625897
168,2337.6247489504917
169,396.95018824586384
170,3327.6888111526127
171,2775.546209457542
172,355.1015839780704
173,-14.566354996227654
174,2402.513649015403
175,2353.610665293056
176,3810.089662574254
177,4911.308514047613
178,1234.3527742084766
179,6885.1807799944
180,1968.7963036169822
181,3002.412576815797
182,3816.2755660272137
183,849.1676678826326
184,198.62339998785683
185,1510.4364590142786
186,3287.979711243754
187,4443.723565109541
188,4008.4113277024976
189,2727.9789699639323
190,1562.8995401832592
191,3550.8637415970047
192,2393.6316981852665
193,461.469644590431
194,892.2574051765923
195,3419.5988065601246
196,555.6856890840129
197,3051.7674494865933
198,2628.1805120278536
199,155.93229528639463
200,2929.825603372731
201,1942.6649960210877
202,3241.2193740051875
203,2436.0063923049424
204,1640.9248889192102
205,1715.3311328736252
206,3914.9112259962226
207,1017.3429339874449
208,3161.3497168731933
209,1728.6668764006986
210,2668.130797322732
211,56.18024311706819
212,3302.7474394927444
213,1348.5841138561254
214,4578.246357026641
215,2227.9613805634935
216,323.47825290293906
217,7181.860398642158
218,2234.2204698397213
219,3089.9005116432118
220,385.3678756500428
221,2441.1468968571053
222,3053.946096471519
223,3233.660023276042
224,1702.9563488461267
225,1378.116623324776
226,2965.4206384466297
227,2509.5381407978953
228,741.9117875308284
229,1530.5217148920335
230,5192.882747226411
231,675.1509627788847
232,1483.8946036026132
233,1894.498156792303
234,1146.8595128252764
235,1538.5069859119124
236,2320.040398196071
237,1975.8873862149371
238,268.8724279393809
239,3426.5551558196885
240,-48.59636908774101
241,4054.354217646752
242,368.40074088611783
243,1687.2757503204832
244,509.0844305753318
245,2147.5890095355003
246,856.8730220404492
247,623.8943700894083
248,118.32244682777346
249,3532.8725203733384
250,3311.504796953464
251,474.6583606396752
252,269.0540233805807
253,1914.7288297682821
254,4087.2307401522035
255,1587.0282659600605
256,4246.264613262866
257,4255.944545083024
258,1125.4841193530067
259,624.5694651953083
260,3647.15722027877
261,2160.973359833475
262,2549.978533543559
263,4392.930157652812
264,3495.381741113635
265,2680.3331215791727
266,2636.4942064871475
267,2843.171080498738
268,1755.9704726385762
269,3748.4605983830606
270,3969.3985163749353
271,1787.8093342024426
272,3780.9151719645997
273,2281.2182404297037
274,850.6173310120804
275,1322.1643707404814
276,2457.584857541621
277,1190.0834479596265
278,2037.4061909308111
279,2049.719845589016
280,2614.1607439746854
281,2906.1484379891094
282,2203.5995969761298
283,2505.93373501407
284,7149.3898738231765
285,4758.551104041955
286,358.8054730611185
287,1583.6912485313694
288,919.4169098415044
289,1078.9100639726296
290,830.9263828662647
291,1948.2112061998544
292,1606.2601505432926
293,2512.2190849499157
294,3675.234780751216
